과제1 f1 2.0 4.0  
  i                 xn1                              | f(xn1) |
  0    3.000000000000000e+00    9.861228866810978e-02
  1    3.500000000000000e+00    9.972370315046319e-01
  2    3.250000000000000e+00    3.838450036583538e-01
  3    3.125000000000000e+00    1.261907168116352e-01
  4    3.062500000000000e+00    9.674674129154681e-03
  5    3.031250000000000e+00    4.549851320365628e-02
  6    3.046875000000000e+00    1.816920957907486e-02
  7    3.054687500000000e+00    4.311573409498504e-03
  8    3.058593750000000e+00    2.665476027821967e-03
  9    3.056640625000000e+00    8.270675343551304e-04
 10    3.057617187500000e+00    9.181995684575117e-04
 11    3.057128906250000e+00    4.531484340919434e-05
 12    3.056884765625000e+00    3.909391393928097e-04
 13    3.057006835937500e+00    1.728278464081523e-04
 14    3.057067871093750e+00    6.376042609557153e-05
 15    3.057098388671875e+00    9.223772491129267e-06
 16    3.057113647460938e+00    1.804529017213063e-05
 17    3.057106018066406e+00    4.410697518775208e-06
 18    3.057102203369141e+00    2.406552816580643e-06
 19    3.057104110717773e+00    1.002068518385357e-06

과제1 f2 0.5 1.0
  i                 xn1                              | f(xn1) |
  0    7.500000000000000e-01    3.357864376269049e-01
  1    6.250000000000000e-01    2.227590650225735e-01
  2    6.875000000000000e-01    2.456077539490931e-02
  3    6.562500000000000e-01    1.075925286967101e-01
  4    6.718750000000000e-01    4.358222000054424e-02
  5    6.796875000000000e-01    1.001963049941446e-02
  6    6.835937500000000e-01    7.144338890323620e-03
  7    6.816406250000000e-01    1.469329873796887e-03
  8    6.826171875000000e-01    2.829599108000957e-03
  9    6.821289062500000e-01    6.781563090836329e-04
 10    6.818847656250000e-01    3.960816035961656e-04
 11    6.820068359375000e-01    1.409136779404463e-04
 12    6.819458007812500e-01    1.276148853435188e-04
 13    6.819763183593750e-01    6.641666146611769e-06
 14    6.819610595703125e-01    6.048854219597999e-05
 15    6.819686889648438e-01    2.692392116654396e-05
 16    6.819725036621094e-01    1.014124829468166e-05
 17    6.819744110107422e-01    1.749821270324858e-06
 18    6.819753646850586e-01    2.445914888848932e-06

과제1 f3 1.02 1.48
  i                 xn1                              | f(xn1) |
  0    1.250000000000000e+00    9.201937500000028e-01
  1    1.135000000000000e+00    2.634867243750065e-01
  2    1.077500000000000e+00    1.864986219140619e-01
  3    1.106250000000000e+00    4.939418792725547e-02
  4    1.091875000000000e+00    6.576846241470946e-02
  5    1.099062500000000e+00    7.498578681186530e-03
  6    1.102656250000000e+00    2.111902525615506e-02
  7    1.100859375000000e+00    6.853143165336917e-03
  8    1.099960937500000e+00    3.119734348402403e-04
  9    1.100410156250000e+00    3.273269151200964e-03
 10    1.100185546875000e+00    1.481319153988636e-03
 11    1.100073242187500e+00    5.848407115607301e-04
 12    1.100017089843750e+00    1.364756048616300e-04
 13    1.099989013671875e+00    8.773842294118595e-05
 14    1.100003051757813e+00    2.437121394649466e-05
 15    1.099996032714844e+00    3.168294875166566e-05
 16    1.099999542236328e+00    3.655703466165505e-06
 17    1.100001296997070e+00    1.035779622071686e-05
 18    1.100000419616699e+00    3.351056619749215e-06

과제1 f3 1.95 2.37
  i                 xn1                              | f(xn1) |
  0    2.160000000000000e+00    1.082726399999885e-01
  1    2.265000000000000e+00    1.673314256250151e-01
  2    2.212500000000000e+00    3.308166503905596e-02
  3    2.186250000000000e+00    3.682551073973883e-02
  4    2.199375000000000e+00    1.664222118954228e-03
  5    2.205937500000000e+00    1.576250851211825e-02
  6    2.202656250000000e+00    7.062358964738280e-03
  7    2.201015625000000e+00    2.702343338434332e-03
  8    2.200195312500000e+00    5.198757007818244e-04
  9    2.199785156250000e+00    5.719698916593075e-04
 10    2.199990234375000e+00    2.599620915333389e-05
 11    2.200092773437500e+00    2.469524744768137e-04
 12    2.200041503906250e+00    1.104813139605199e-04
 13    2.200015869140625e+00    4.224334762881199e-05
 14    2.200003051757812e+00    8.123768019174804e-06
 15    2.199996643066406e+00    8.936170893036888e-06

과제1 f3 3.11 3.73
  i                 xn1                              | f(xn1) |
  0    3.420000000000000e+00    3.328550399999628e-01
  1    3.265000000000000e+00    9.159492562512384e-02
  2    3.342500000000000e+00    1.151484155859279e-01
  3    3.303750000000000e+00    9.999399411576348e-03
  4    3.284375000000000e+00    4.129000711439090e-02
