  i                 xn1                              | f(xn1) |
  0    2.700000000000000e+00    5.032517730102832e-01
  1    3.188769707599915e+00    2.535382468996263e-01
  2    3.065927769928115e+00    1.585178893750805e-02
  3    3.057148971254527e+00    8.117451094169503e-05
  4    3.057103551210869e+00    2.173347279921245e-09
  5    3.057103549994738e+00    0.000000000000000e+00
  i                 xn1                              | f(xn1) |
  0    1.700000000000000e+00    4.406282510621705e-01
  1    3.700000000000000e+00    1.581667180349822e+00
  2    2.135770406457892e+00    7.403938244376536e-01
  3    2.634528160312509e+00    5.660781134344021e-01
  4    4.254209178953081e+00    3.633550134609810e+00
  5    2.852848907113028e+00    3.209668531636551e-01
  6    2.966589775591207e+00    1.531172751165957e-01
  7    3.070347509470592e+00    2.385304056960025e-02
  8    3.056362466690744e+00    1.323811448244561e-03
  9    3.057097807221920e+00    1.026287507888135e-05
 10    3.057103552504711e+00    4.485571691859036e-09
