         [xi, xi+1)                  data/Nr                   F(xi+1)-F(xi)
[0.000000, 0.010101)    0.002928000000000     0.002870976927000
[0.010101, 0.020202)    0.003194000000000     0.003096486802500
[0.020202, 0.030303)    0.003322000000000     0.003379855206000
[0.030303, 0.040404)    0.003850000000000     0.003703960942500
[0.040404, 0.050505)    0.004110000000000     0.004119829213500
[0.050505, 0.060606)    0.004902000000000     0.004693889245500
[0.060606, 0.070707)    0.005582000000000     0.005578464118500
[0.070707, 0.080808)    0.007028000000000     0.006879351706500
[0.080808, 0.090909)    0.008274000000000     0.008519698551000
[0.090909, 0.101010)    0.009662000000000     0.009998479900500
[0.101010, 0.111111)    0.011032000000000     0.011181973666500
[0.111111, 0.121212)    0.012146000000000     0.012402452244000
[0.121212, 0.131313)    0.013260000000000     0.013471254205500
[0.131313, 0.141414)    0.014180000000000     0.014320369518000
[0.141414, 0.151515)    0.014806000000000     0.014993990056500
[0.151515, 0.161616)    0.015474000000000     0.015472923921000
[0.161616, 0.171717)    0.015838000000000     0.015835873053000
[0.171717, 0.181818)    0.016286000000000     0.016097196024000
[0.181818, 0.191919)    0.016076000000000     0.016194827239500
[0.191919, 0.202020)    0.015910000000000     0.016068696052500
[0.202020, 0.212121)    0.015600000000000     0.015752908489500
[0.212121, 0.222222)    0.015330000000000     0.015273691797000
[0.222222, 0.232323)    0.014722000000000     0.014609061148500
[0.232323, 0.242424)    0.013652000000000     0.013783849852500
[0.242424, 0.252525)    0.012778000000000     0.012864451782000
[0.252525, 0.262626)    0.011744000000000     0.011870806311000
[0.262626, 0.272727)    0.010964000000000     0.010925019378000
[0.272727, 0.282828)    0.010184000000000     0.010162792867500
[0.282828, 0.292929)    0.009358000000000     0.009513106648500
[0.292929, 0.303030)    0.008918000000000     0.008899743625500
[0.303030, 0.313131)    0.008252000000000     0.008253946291500
[0.313131, 0.323232)    0.007568000000000     0.007581189388500
[0.323232, 0.333333)    0.006846000000000     0.006996265731000
[0.333333, 0.343434)    0.006600000000000     0.006530013672000
[0.343434, 0.353535)    0.006158000000000     0.006151241323500
[0.353535, 0.363636)    0.005856000000000     0.005844145671000
[0.363636, 0.373737)    0.005644000000000     0.005646125667000
[0.373737, 0.383838)    0.005660000000000     0.005528570229000
[0.383838, 0.393939)    0.005466000000000     0.005440353145500
[0.393939, 0.404040)    0.005344000000000     0.005375565331500
[0.404040, 0.414141)    0.005366000000000     0.005325923967000
[0.414141, 0.424242)    0.005260000000000     0.005296378542000
[0.424242, 0.434343)    0.005310000000000     0.005313181555500
[0.434343, 0.444444)    0.005144000000000     0.005369762307000
[0.444444, 0.454545)    0.005358000000000     0.005433918808500
[0.454545, 0.464646)    0.005478000000000     0.005503878334500
[0.464646, 0.474747)    0.005522000000000     0.005585701485000
[0.474747, 0.484848)    0.005742000000000     0.005675777152500
[0.484848, 0.494949)    0.005920000000000     0.005773443721500
[0.494949, 0.505050)    0.005844000000000     0.005884953711000
[0.505050, 0.515151)    0.005978000000000     0.006009983889000
[0.515151, 0.525252)    0.006302000000000     0.006152418090000
[0.525252, 0.535353)    0.006304000000000     0.006334089625500
[0.535353, 0.545454)    0.006728000000000     0.006598912593000
[0.545454, 0.555555)    0.007042000000000     0.006947467800000
[0.555555, 0.565656)    0.007496000000000     0.007327659339000
[0.565656, 0.575757)    0.007738000000000     0.007744674073500
[0.575757, 0.585858)    0.008216000000000     0.008209719063000
[0.585858, 0.595959)    0.008682000000000     0.008690284239000
[0.595959, 0.606060)    0.009268000000000     0.009177511024500
[0.606060, 0.616161)    0.009596000000000     0.009690808491000
[0.616161, 0.626262)    0.010142000000000     0.010237949358000
[0.626262, 0.636363)    0.011170000000000     0.010826787153000
[0.636363, 0.646464)    0.011592000000000     0.011427832006500
[0.646464, 0.656565)    0.011876000000000     0.012057109155000
[0.656565, 0.666666)    0.012776000000000     0.012839941705500
[0.666666, 0.676767)    0.014044000000000     0.013939895151000
[0.676767, 0.686868)    0.015556000000000     0.015288131176500
[0.686868, 0.696969)    0.016824000000000     0.016912180057500
[0.696969, 0.707070)    0.018548000000000     0.018517850169000
[0.707070, 0.717171)    0.019706000000000     0.019719470179500
[0.717171, 0.727272)    0.020006000000000     0.020393767485000
[0.727272, 0.737373)    0.020810000000000     0.020668726806000
[0.737373, 0.747474)    0.020842000000000     0.020889807393000
[0.747474, 0.757575)    0.021228000000000     0.021045943600500
[0.757575, 0.767676)    0.021358000000000     0.021125655642000
[0.767676, 0.777777)    0.020818000000000     0.021075281955000
[0.777777, 0.787878)    0.020620000000000     0.020829413514000
[0.787878, 0.797979)    0.020608000000000     0.020330762497500
[0.797979, 0.808080)    0.019428000000000     0.019403490697500
[0.808080, 0.818181)    0.018638000000000     0.018159012144000
[0.818181, 0.828282)    0.016644000000000     0.016805659962000
[0.828282, 0.838383)    0.015574000000000     0.015314348322000
[0.838383, 0.848484)    0.013866000000000     0.013809526594500
[0.848484, 0.858585)    0.012570000000000     0.012424533030000
[0.858585, 0.868686)    0.010982000000000     0.011148029256000
[0.868686, 0.878787)    0.009762000000000     0.010020388969500
[0.878787, 0.888888)    0.009012000000000     0.008929607232000
[0.888888, 0.898989)    0.007676000000000     0.007677982221000
[0.898989, 0.909090)    0.006438000000000     0.006443124870000
[0.909090, 0.919191)    0.005398000000000     0.005407393582500
[0.919191, 0.929292)    0.004568000000000     0.004540864146000
[0.929292, 0.939393)    0.003928000000000     0.003824238600000
[0.939393, 0.949494)    0.003416000000000     0.003259981588500
[0.949494, 0.959595)    0.002874000000000     0.002827168890000
[0.959595, 0.969696)    0.002366000000000     0.002461361175000
[0.969696, 0.979797)    0.002172000000000     0.002122664544000
[0.979797, 0.989898)    0.001794000000000     0.001809371928000
[0.989898, 0.999999)    0.001572000000000     0.001553912587500
